"resource","name","summary"
"version","red","**Pokémon Red** is one of the seminal titles in the Pokémon franchise and was released for the Nintendo Game Boy in 1996 in Japan and 1998 in North America. It serves as the cornerstone of the Pokémon series and introduced millions of players to the mechanics and world of Pokémon.

**Key Features:**
1. **Region and Setting:** The game is set in the fictional Kanto region, featuring various towns, cities, and diverse environments ranging from forests to caves. 
2. **Starter Pokémon:** At the beginning of their journey, players choose one of three starter Pokémon: Bulbasaur (Grass/Poison type), Charmander (Fire type), or Squirtle (Water type).
3. **Objectives:** The primary objective is to defeat the eight Gym Leaders scattered throughout Kanto and subsequently challenge the Pokémon League's Elite Four to become the Pokémon Champion. The secondary goal involves completing the Pokédex by capturing all 151 Pokémon available in the game.
4. **"
"version","blue","**Pokémon Blue** is one of the original Pokémon video games developed by Game Freak and published by Nintendo for the Game Boy. Released alongside Pokémon Red in 1996, Pokémon Blue is set in the fictional Kanto region and features the first generation of Pokémon creatures. 

**Key Features:**

1. **Kanto Region Exploration**: Players traverse the Kanto region, visiting various towns, cities, and terrains to catch Pokémon, battle trainers, and compete in Gym battles.
   
2. **Starter Pokémon**: Players begin in Pallet Town and can choose one of three starter Pokémon: Bulbasaur (Grass/Poison type), Charmander (Fire type), or Squirtle (Water type).

3. **Pokédex**: Players are tasked with completing the Pokédex, an in-game encyclopedia, by capturing and evolving Pokémon to document all 151 species.

4. **Battles and Gym Leaders**: The game features turn-based battles where players use their Pokémon"
"version","yellow","**Pokémon Yellow: Special Pikachu Edition** was released for the Game Boy and stands out among the first-generation Pokémon games due to its unique features that distinguish it from Pokémon Red and Blue. 

**Key Features and Differences:**
- **Starter Pokémon:** Unlike Red and Blue, where players can choose from Bulbasaur, Charmander, or Squirtle, in Pokémon Yellow, players begin with a Pikachu, mirroring Ash Ketchum's journey from the Pokémon animated series.
- **Pikachu's Behavior:** The player's Pikachu walks outside its Poké Ball and follows them around, displaying various emotions and reactions throughout the game. This feature set the foundation for future games that emphasized stronger bonds between trainers and their Pokémon.
- **Graphics and Sprites:** Enhanced color graphics and improved character sprites were used to make the game more visually appealing. Pokémon Yellow was designed to make the most out of the Game Boy Color’s capabilities.
- **Team Rocket and Anime Influence:** Pokémon Yellow"
"version","gold","**Pokémon Gold** is a role-playing game developed by Game Freak and published by Nintendo for the Game Boy Color. Released in 1999 in Japan and in 2000 in North America, Australia, and Europe, it is part of the second generation of Pokémon games, along with its counterpart, Pokémon Silver.

**Key Features:**
1. **Introduction of Johto Region:** Pokémon Gold allows players to explore the new Johto region, which includes diverse landscapes such as forests, mountains, and caves.
2. **New Pokémon:** The game introduces 100 new Pokémon, bringing the total number to 251.
3. **Time System:** It features a real-time clock, influencing various in-game events. Day and night cycles affect the appearance of certain Pokémon and events.
4. **Breeding:** Pokémon breeding is introduced, allowing players to hatch Pokémon eggs by leaving two compatible Pokémon in a daycare.
5. **Held Items:** Pokémon can hold items that provide various benefits in battles,"
"version","silver","**Pokémon Silver** is part of the second generation of Pokémon games, released alongside Pokémon Gold for the Game Boy Color in 1999 in Japan and in 2000 in North America, Australia, and Europe. Set in the Johto region, Pokémon Silver continues the trend of capturing and training Pokémon but introduces various new features and improvements that set it apart from its predecessors.

**Key Features:**
1. **New Region and Pokémon:** Pokémon Silver expands the Pokémon universe with the introduction of the Johto region and 100 new Pokémon, bringing the total number of catchable Pokémon to 251.
2. **Gameplay Mechanics:** New gameplay mechanics such as held items and two new types of Pokémon, Dark and Steel, are introduced. These additions balance the game and offer new strategic elements in battles.
3. **Real-Time Clock:** One of the most significant innovations in Pokémon Silver is the built-in real-time clock, which affects various gameplay elements such as day-night cycles, time-dependent events,"
"version","crystal","**Pokémon Crystal** is an enhanced version of Pokémon Gold and Silver and was released for the Game Boy Color in 2000. It is the third installment in the second generation of Pokémon games. Pokémon Crystal features the Johto region, expanding gameplay elements and introducing several key features that set it apart from its predecessors.

### Key Features:
- **First Playable Female Character:** Crystal is notable for allowing players to choose the gender of their character for the first time in the series, introducing a female protagonist named Kris.
  
- **Better Graphics:** It supports the Game Boy Color’s graphical capabilities better, with enhanced visuals and animations. Notably, it introduces animated sprites for Pokémon, with each Pokémon displaying a brief animation when they appear in battle.

- **Battle Tower:** Pokémon Crystal introduces the Battle Tower, a facility where players can challenge a series of Trainers in a unique battle mode. This feature would become a staple in later games.

- **Unique Storyline Elements:** Suicune, one"
"version","ruby","**Pokémon Ruby** is a role-playing game developed by Game Freak and published by Nintendo and The Pokémon Company for the Game Boy Advance. Released in 2002, it is a part of the third generation of the Pokémon series, alongside Pokémon Sapphire and Pokémon Emerald.

**Key Features:**
- **Hoenn Region:** Pokémon Ruby introduces players to the Hoenn region, a new environment featuring a diverse geography that includes forests, deserts, and oceans.
- **Pokémon Count:** The game features 202 Pokémon, including new creatures exclusive to this generation, such as Torchic, Mudkip, and Treecko, the three starter Pokémon.
- **Team Magma:** The primary antagonists in Ruby are Team Magma, a group that seeks to expand the landmass by awakening the legendary Pokémon Groudon.
- **Double Battles:** For the first time in the series, double battles are introduced, allowing for two Pokémon on each side to battle simultaneously.
- **Abilities and Natures:** Pokémon"
"version","sapphire","**Pokémon Sapphire** is part of the third generation of Pokémon games and was released for the Game Boy Advance. It takes place in the Hoenn region, introducing 135 new Pokémon, bringing the total to 386. Players must travel through Hoenn, battling Gym Leaders and the villainous Team Aqua while attempting to thwart their plans to expand the ocean.

Key Features:
1. **Hoenn Region**: A diverse landscape with extensive water routes, a volcano, deserts, and lush forests.
2. **Double Battles**: A new battle format involving two Pokémon on each side, which adds strategic depth.
3. **Abilities and Natures**: Pokémon now have abilities that can affect battles and characteristics known as natures that influence their stats.
4. **Weather Effects**: Weather can change during battles, impacting moves and strategies.
5. **Secret Bases**: Players can create and decorate their own secret base, which can be discovered by other players during link-cable battles.

Not"
"version","emerald","**Pokémon Emerald** is a third-generation main series game released for the Game Boy Advance. It was launched as an enhanced version of Pokémon Ruby and Sapphire, featuring several key upgrades and differences that set it apart from its predecessors.

### Key Features
- **Battle Frontier**: Pokémon Emerald introduced the Battle Frontier, a complex post-game area with various battle facilities such as the Battle Tower, Battle Dome, Battle Factory, and others. This added a significant amount of replayability and variety to the endgame content.
- **Double Battles**: While Double Battles were introduced in Ruby and Sapphire, Pokémon Emerald emphasized them more heavily. There are more opportunities for players to engage in Double Battles throughout the story.
- **Pokémon Animations**: The Pokémon sprites in Emerald feature animated sequences when they enter battle, a feature carried over from Pokémon Crystal.
- **Match Call System**: An updated version of the Trainer's Eyes/Match Call system from the PokéNav lets players re-battle trainers"
"version","firered","**Pokémon FireRed** is a enhanced remake of the original Pokémon Red and was released for the Game Boy Advance in 2004 along with Pokémon LeafGreen, the remake of Pokémon Blue. These games were developed by Game Freak and published by Nintendo and The Pokémon Company. They play homage to the original titles while incorporating modernized gameplay features and graphics.

### Key Features:

1. **Graphics and Sound:**
   - **Enhanced Visuals**: FireRed features upgraded graphics compared to the original Game Boy versions, showcasing more detailed and colored sprites.
   - **Improved Audio**: The music and sound effects are also significantly enhanced, taking advantage of the Game Boy Advance's superior audio capabilities.

2. **Expanded Gameplay:**
   - **Sevii Islands**: This version introduces the Sevii Islands, a new area consisting of several islands that were not present in the original Red version. These islands offer additional quests and the opportunity to catch Pokémon from the Johto region.
  "
