resource,name,summary
move,pound,"**Pound** is a Normal-type move with 40 power and 100% accuracy. It is one of the most basic and widely known attacks, often taught to many Pokémon at very early levels. Pound deals direct damage without any additional effects or secondary consequences. Despite its low power, it serves as a reliable move for beginners due to its perfect accuracy. Pound is often one of the first moves that new trainers encounter and is a staple in many early-game scenarios before more powerful moves are learned."
move,karate-chop,"**Karate Chop** is a Fighting-type move with 50 power and 100% accuracy. While its base power may appear modest, it has an increased critical hit ratio, making it more likely to land a critical hit compared to other moves. Originally, Karate Chop was classified as a Normal-type move in the first generation of Pokémon games but was later changed to a Fighting-type move from the second generation onwards. It's a classic move that many Fighting-type Pokémon can learn early in their leveling progression, making it a staple in the move sets of many fighting Pokémon."
move,double-slap,"**Double-Slap** is a Normal-type move with a variable power as it hits the target 2 to 5 times consecutively. Each hit has 15 power, with the total potential power ranging from 30 to 75 if all five hits land. The move has 85% accuracy. Double-Slap can be beneficial for breaking through substitutes and items like Focus Sash or Sturdy, which would normally prevent a one-hit knockout. However, its variable nature and lower accuracy make it less reliable compared to other multi-hit moves. It is more commonly seen in early-game play and less in competitive environments."
move,comet-punch,"**Comet Punch** is a Normal-type move with variable power and 85% accuracy. It is a multi-strike move that hits the target 2-5 times in a single turn. Each individual hit has a power of 18, and if all five hits connect, the total base power can reach 90. The probability of hitting 2, 3, 4, or 5 times is 37.5%, 37.5%, 12.5%, and 12.5%, respectively. Comet Punch is often used for its potential to break through the opponent's Substitute or to take advantage of abilities that activate with multiple hits. Despite its randomness, it can be a valuable move for delivering multiple blows in quick succession."
move,mega-punch,"**Mega Punch** is a Normal-type move with 80 power and 85% accuracy. As one of the original moves introduced in the first generation of Pokémon games, it is known for its strong physical impact. Despite the name suggesting an exceptionally powerful move, its accuracy and power are relatively moderate compared to some higher-tier attacks. Mega Punch does not have any additional effects like status changes or stat boosts, and it is commonly used by a variety of Pokémon that rely on physical strength. While not as commonly used in competitive play due to the availability of more powerful and accurate moves, it remains a nostalgic and classic choice for many trainers."
move,pay-day,"**Pay Day** is a Normal-type move with 40 power and 100% accuracy. When used in battle, it scatters coins on the ground, allowing the player to collect additional money after the fight concludes. The amount of money collected is equal to five times the user's level, provided the user remains in battle when the opponent is defeated. Pay Day is often associated with Meowth, which learns the move at an early level. It is a popular choice for players looking to earn extra in-game currency without engaging in Trainer battles or other in-game activities."
move,fire-punch,"**Fire Punch** is a Fire-type move with 75 power and 100% accuracy. It has a 10% chance of burning the target. Fire Punch is a physical attack, making it useful for Pokémon with high Attack stats. The move is commonly used due to its reliable damage and the potential to inflict a burn, which can halve the Attack stat of the target if successful. It is also notable for being a punch-based move, meaning Pokémon with the ability Iron Fist will receive a boost to its power. Fire Punch is a versatile move found on various Pokémon, providing valuable type coverage."
move,ice-punch,"**Ice Punch** is an Ice-type move with 75 power and 100% accuracy. It has a 10% chance of freezing the target, which can immobilize the opponent. Ice Punch is a physical move, making it advantageous for Pokémon with high Attack stats. It is widely used due to its ability to deal significant damage and potentially inflict the freeze status, which is one of the most debilitating conditions in battle. Ice Punch is versatile, often appearing on a variety of Pokémon, including those that are not Ice-type, thanks to its availability through various move tutor programs and TMs in different generations."
move,thunder-punch,"**Thunder Punch** is an Electric-type move with 75 power and 100% accuracy. It has a 10% chance of paralyzing the target. Thunder Punch is a physical move, making it useful for Pokémon with high Attack stats. It has been a staple move for Electric-type physical attackers and is also favored by Pokémon with the ability to learn it through TM or breeding. The move is particularly effective in battles against Water- or Flying-type Pokémon, which are weak to Electric-type attacks. Thunder Punch combines reliable damage output with the added utility of potentially causing paralysis, giving it strategic value in both casual and competitive play."
move,scratch,"**Scratch** is a Normal-type move with 40 power and 100% accuracy. It is one of the most basic and frequently encountered moves, often known to or learned early by low-level Pokémon. Scratch has no additional effects beyond dealing damage, making it a straightforward and reliable attack. Despite its simplicity, it serves as an effective introductory move for new Pokémon trainers and is iconic due to its widespread use in the early stages of many Pokémon games."
move,vice-grip,"**Vice-Grip** is a Normal-type move with 55 power and 100% accuracy. It is a physical attack where the user grips the target tightly, inflicting damage. While Vice-Grip does not have any additional effects or secondary effects like status ailments, it's an early-game move that many Pokémon can learn, making it a staple for Pokémon just starting their journey. Despite its lower power in comparison to other moves obtained later in the game, Vice-Grip’s perfect accuracy ensures it reliably lands hits."
move,guillotine,"**Guillotine** is a Normal-type move with a power that is effectively infinite, but it has an accuracy of only 30%. This move is a one-hit KO (OHKO) move, meaning it will instantly faint the target if it lands successfully. Guillotine does not affect Pokémon that are of a higher level than the user, and it won't work against Ghost-type Pokémon due to its Normal-type classification. Although highly risky because of its low accuracy, Guillotine can be a game-changer if it hits. It is typically used in strategies that involve boosting evasion or lowering the opponent's accuracy to increase the likelihood of landing the move."
move,razor-wind,"**Razor Wind** is a Normal-type move with 80 power and 100% accuracy. It is a two-turn move: on the first turn, the user charges up, and on the second turn, it unleashes the attack. Razor Wind also has a high critical hit ratio, which increases the chance of landing a critical hit. This move can hit adjacent opponents in double battles, making it versatile in certain battle scenarios. Despite its interesting mechanics, Razor Wind is less commonly seen in competitive play due to the delay in its execution, which can leave the user vulnerable during the charging turn."
move,swords-dance,"**Swords Dance** is a Normal-type non-damaging move with no power or accuracy attributes since it does not deal damage. Instead, it significantly boosts the user's Attack stat by two stages, effectively doubling their physical attacking capability. Swords Dance is often used to set up for a sweep, allowing the user to deal substantial damage in subsequent turns. It is a classic move in competitive play, frequently utilized by physical attackers to enhance their offensive potential. The move is a staple in the movesets of many Pokémon due to its ability to turn the tide of battle by drastically increasing the user's damage output."
