"resource","name","summary"
"berry","cheri","**Cheri Berry** is a type of Berry in the Pokémon series that primarily serves to heal the status condition of paralysis when consumed by a Pokémon. This makes it particularly useful in battles where paralysis is a frequent hazard, providing trainers with a strategic item to quickly remedy this debilitating status. 

### Effects
- **Primary Effect:** When held by a Pokémon, the Cheri Berry automatically activates to cure paralysis.
- **Secondary Uses:** Apart from its primary in-battle effect, Cheri Berries can be used in cooking various treats like Poffins in the Sinnoh region or Pokéblocks in the Hoenn region to boost a Pokémon’s conditions in contests.

### Common Uses
- **In Battles:** Given its ability to cure paralysis, the Cheri Berry is commonly equipped by Pokémon that are susceptible to Thunder Wave or other paralysis-inducing moves.
- **Training and Bonding:** Trainers often use Cheri Berries to make Poffins or Pokéblocks, which can help improve"
"berry","chesto","**Chesto Berry** is a type of Berry known for its ability to awaken a Pokémon from sleep status when consumed. This makes it an invaluable item in both casual and competitive battles, where sleep-inducing moves like Sleep Powder, Hypnosis, and Spore are commonly used to incapacitate opponents.

**Effects:** The primary effect of the Chesto Berry is to wake up a sleeping Pokémon instantly. When held by a Pokémon, it will automatically be consumed once the Pokémon falls asleep, allowing them to continue battling without losing turns.

**Common Uses:** 
1. **Battle Strategy:** Trainers frequently equip their Pokémon with a Chesto Berry to counteract the sleep-inducing strategies of opponents. This is particularly effective in competitive play, where sleep moves are often part of the meta.
2. **Single-Use Moves:** Some Pokémon are trained to use the move Rest, which fully restores HP but puts the user to sleep for two turns. By holding a Chesto Berry, the Pokémon can immediately wake"
"berry","pecha","**Pecha Berry** is a distinctive type of Berry known for its sweet taste and notable pink color. In the Pokémon universe, the primary effect of a Pecha Berry is its ability to cure a Pokémon of poisoning, making it a valuable item for trainers to have on hand during battles where poison-inducing moves or abilities are common.

**Effects:**
- Pecha Berry cures the Pokémon holding it of poison status automatically when needed.
- If a Pokémon is not poisoned, it can be consumed to restore a small amount of HP, though its primary use is as an antidote.

**Common Uses:**
- **Battle Strategy:** Trainers frequently use Pecha Berries as held items during battles to provide an immediate remedy against poison-inducing attacks. This can prevent further damage accumulation and preserve the Pokémon's fighting capability.
- **Exploration:** Adventurers and trainers in regions where poisonous Pokémon or environments are prevalent often carry Pecha Berries for quick access to an anti-poison solution, ensuring their"
"berry","rawst","**Rawst Berry** is a type of Berry primarily known for its ability to cure a Pokémon of a burn status condition when consumed. This makes it a valuable asset in battles where burn-inducing moves or abilities are common. The Rawst Berry is often carried by trainers as a precautionary measure to ensure that their Pokémon can continue fighting at full capacity without the debilitating effects of a burn, which not only causes damage over time but also reduces the damage output of physical moves.

**Effects and Common Uses:**
1. **Healing Properties:** When a Pokémon consumes a Rawst Berry, either automatically during battle or through a trainer’s intervention, it immediately cures any burn inflicted on the Pokémon. This instant remedy can turn the tide in closely contested battles, especially against opponents who rely on burn-inducing tactics.
2. **Held Item Strategy:** Many trainers equip their Pokémon with a Rawst Berry as a held item. This ensures that if the Pokémon gets burned during battle, the Berry will be used instantly"
"berry","aspear","**Aspear Berry** is a type of Berry in the Pokémon series known primarily for its ability to heal the frozen status condition when consumed by a Pokémon. It is classified as a status-healing Berry.

### Effects:
- **Primary Effect:** Heals the frozen status condition, allowing a Pokémon to thaw out immediately.
- **Secondary Effect (in certain games):** If held by a Pokémon, it will be consumed automatically when the Pokémon becomes frozen, curing it instantly.

### Common Uses:
- **Status Healing:** The most common use of the Aspear Berry is to prevent or cure the frozen status condition during battles. This can be particularly useful in battles against Ice-type Pokémon or those known to use moves that can freeze opponents, such as Ice Beam or Blizzard.
- **Berry Blending and Poffin Making:** In certain games like Pokémon Ruby, Sapphire, and Emerald, the Aspear Berry can be used in Berry Blending to create Pokéblocks, which enhance a Pokémon's contest"
"berry","leppa","**Leppa Berry** is a type of Berry in the Pokémon series that restores 10 Power Points (PP) to a selected move when consumed by a Pokémon. This makes it particularly useful in long battles or during lengthy adventures where access to Pokémon Centers may be limited. Here are some key details about the Leppa Berry:

**Effects:**
- Restores 10 PP to a specific move.
- Can be used manually by the trainer or automatically by the Pokémon if held and the move's PP reaches zero.

**Common Uses:**
- In battle: To restore the PP of critical moves, ensuring that Pokémon can continue to use their most powerful attacks or essential support moves.
- During Elite Four or Champion battles: Trainers often equip their Pokémon with Leppa Berries to ensure they don’t run out of crucial moves during these long, multi-battle sequences.
- In lengthy cave or wilderness exploration: Where access to Pokémon Centers is restricted, having Leppa Berries can be a lifesaver for"
"berry","oran","**Oran Berry** is a versatile and widely recognized Berry in the Pokémon series, known for its healing properties and practical applications in various gameplay scenarios. This small blue Berry restores 10 HP to the Pokémon that consumes it, making it an essential item for trainers, especially in the early stages of their journey. 

**Effects:** When a Pokémon holding an Oran Berry's HP drops below 50%, the Berry is automatically consumed to heal 10 HP. This automatic healing can provide a strategic advantage during battles, giving the Pokémon a chance to last longer against opponents. In certain games, such as Pokémon Mystery Dungeon, the Oran Berry's healing effect may vary; in these games, it often restores a more substantial portion of a Pokémon's health.

**Common Uses:** Oran Berries are commonly used in both casual play and competitive battles. Trainers often equip their Pokémon with Oran Berries for early-game Gyms, rival battles, and other key encounters where every bit of HP can be"
"berry","persim","**Persim Berry** is a fruit in the Pokémon universe known for its ability to cure confusion in Pokémon when consumed. Here are the primary details:

**Effects:**
- When consumed, a Persim Berry immediately heals a Pokémon from the status condition of confusion.
- In some games, Persim Berries can be used in specific Pokéblock and Poffin recipes to enhance certain contest stats, such as Coolness, Beauty, or Toughness.

**Common Uses:**
- **Battle Strategy:** Trainers often use Persim Berries strategically in battles to ensure their Pokémon can recover from confusion induced by moves like Swagger or Thrash. This can be particularly crucial in tight battles where sustaining confusion could shift the momentum.
- **Contest Performance:** Aside from battles, Persim Berries are useful in Pokémon Contests to create Pokéblocks or Poffins that help boost performance stats, making Pokémon more appealing in various contest categories.
- **Held Item:** Pokémon can hold Persim Berries"
"berry","lum","**Lum Berry** is a versatile and highly regarded Berry in the Pokémon world. Its primary effect is to cure any status condition afflicting the Pokémon that consumes it. This means it can heal ailments such as paralysis, poisoning, sleep, freezing, burn, and confusion, making it an invaluable item in both casual play and competitive battling.

**Effects:**
- The Lum Berry automatically activates when the Pokémon holding it is affected by any status condition.
- In battle, it allows Pokémon to continue fighting without the hindrance of status-related setbacks, providing a strategic advantage.

**Common Uses:**
- **Competitive Battling:** Lum Berries are frequently equipped to Pokémon by trainers who participate in competitive battles. They provide a safety net against the widespread use of status-inflicting moves, ensuring that the Pokémon can maintain peak performance.
- **In-Game Gyms and Elite Four Challenges:** Trainers often use Lum Berries during significant battles to counteract status moves used by Gym Leaders and Elite Four members.
-"
"berry","sitrus","**Sitrus Berry** is a type of Berry known for its restorative properties in the Pokémon world. When consumed by a Pokémon, it restores 25% of the Pokémon's maximum HP. This makes the Sitrus Berry significantly more effective than the Oran Berry, which only restores a flat 10 HP.

**Effects:** The primary effect of the Sitrus Berry is to heal a Pokémon by 25% of its maximum HP, which can be crucial in battle situations. In more recent games, such as Pokémon Sword and Shield, it is a commonly used item for its reliable healing properties. Additionally, if a Pokémon holds a Sitrus Berry and has the Gluttony ability, it will consume the berry earlier than usual, providing a strategic advantage in prolonged battles.

**Common Uses:** The Sitrus Berry is widely used in both casual and competitive gameplay. In competitive battling, it is commonly given to bulky or defensive Pokémon to provide sustained survivability, allowing them to stay"
