resource,name,summary
berry,cheri,
berry,chesto,
berry,pecha,
berry,rawst,
berry,aspear,
berry,leppa,
berry,oran,
berry,persim,
berry,lum,
berry,sitrus,
berry,figy,
berry,wiki,
berry,mago,
berry,aguav,
berry,iapapa,
berry,razz,
berry,bluk,
berry,nanab,
berry,wepear,
berry,pinap,
berry,pomeg,
berry,kelpsy,
berry,qualot,
berry,hondew,
berry,grepa,
berry,tamato,
berry,cornn,
berry,magost,
berry,rabuta,
berry,nomel,
berry,spelon,
berry,pamtre,
berry,watmel,
berry,durin,
berry,belue,
berry,occa,
berry,passho,
berry,wacan,
berry,rindo,
berry,yache,
berry,chople,
berry,kebia,
berry,shuca,
berry,coba,
berry,payapa,
berry,tanga,
berry,charti,
berry,kasib,
berry,haban,
berry,colbur,
berry,babiri,
berry,chilan,
berry,liechi,
berry,ganlon,
berry,salac,
berry,petaya,
berry,apicot,
berry,lansat,
berry,starf,
berry,enigma,
berry,micle,
berry,custap,
berry,jaboca,
berry,rowap,
berry-firmness,very-soft,
berry-firmness,soft,
berry-firmness,hard,
berry-firmness,very-hard,
berry-firmness,super-hard,
berry-flavor,spicy,
berry-flavor,dry,
berry-flavor,sweet,
berry-flavor,bitter,
berry-flavor,sour,
contest-type,cool,
contest-type,beauty,
contest-type,cute,
contest-type,smart,
contest-type,tough,
egg-group,monster,
egg-group,water1,
egg-group,bug,
egg-group,flying,
egg-group,ground,
egg-group,fairy,
egg-group,plant,
egg-group,humanshape,
egg-group,water3,
egg-group,mineral,
egg-group,indeterminate,
egg-group,water2,
egg-group,ditto,
egg-group,dragon,
egg-group,no-eggs,
encounter-condition,swarm,
encounter-condition,time,
encounter-condition,radar,
encounter-condition,slot2,
encounter-condition,radio,
encounter-condition,season,
encounter-condition,starter,
encounter-condition,tv-option,
encounter-condition,story-progress,
encounter-condition,other,
encounter-condition,item,
encounter-condition,weekday,
encounter-condition,first-party-pokemon,
encounter-condition-value,swarm-yes,
encounter-condition-value,swarm-no,
encounter-condition-value,time-morning,
encounter-condition-value,time-day,
encounter-condition-value,time-night,
encounter-condition-value,radar-on,
encounter-condition-value,radar-off,
encounter-condition-value,slot2-none,
encounter-condition-value,slot2-ruby,
encounter-condition-value,slot2-sapphire,
encounter-condition-value,slot2-emerald,
encounter-condition-value,slot2-firered,
encounter-condition-value,slot2-leafgreen,
encounter-condition-value,radio-off,
encounter-condition-value,radio-hoenn,
encounter-condition-value,radio-sinnoh,
encounter-condition-value,season-spring,
encounter-condition-value,season-summer,
encounter-condition-value,season-autumn,
encounter-condition-value,season-winter,
encounter-condition-value,starter-bulbasaur,
encounter-condition-value,starter-squirtle,
encounter-condition-value,starter-charmander,
encounter-condition-value,starter-chespin,
encounter-condition-value,starter-fennekin,
encounter-condition-value,starter-froakie,
encounter-condition-value,tv-option-blue,
encounter-condition-value,tv-option-red,
encounter-condition-value,story-progress-awakened-beasts,
encounter-condition-value,story-progress-beat-galactic-coronet,
encounter-condition-value,story-progress-oak-eterna-city,
encounter-condition-value,story-progress-vermilion-copycat,
encounter-condition-value,story-progress-met-tornadus-thundurus,
encounter-condition-value,story-progress-beat-elite-four-round-two,
encounter-condition-value,story-progress-hall-of-fame,
encounter-condition-value,story-progress-none,
encounter-condition-value,story-progress-national-dex,
encounter-condition-value,other-none,
encounter-condition-value,other-snorlax-11-beat-league,
encounter-condition-value,other-virtual-console,
encounter-condition-value,story-progress-cure-eldritch-nightmares,
encounter-condition-value,other-talk-to-cynthias-grandmother,
encounter-condition-value,item-none,
encounter-condition-value,item-adamant-orb,
encounter-condition-value,item-lustrous-orb,
encounter-condition-value,item-helix-fossil,
encounter-condition-value,item-dome-fossil,
encounter-condition-value,item-old-amber,
encounter-condition-value,item-root-fossil,
encounter-condition-value,item-claw-fossil,
encounter-condition-value,story-progress-defeat-jupiter,
encounter-condition-value,story-progress-beat-team-galactic-iron-island,
encounter-condition-value,other-correct-password,
encounter-condition-value,story-progress-zephyr-badge,
encounter-condition-value,story-progress-beat-red,
encounter-condition-value,other-received-kanto-starter,
encounter-condition-value,story-progress-receive-tm-from-claire,
encounter-condition-value,other-regirock-regice-registeel-in-party,
encounter-condition-value,weekday-sunday,
encounter-condition-value,weekday-monday,
encounter-condition-value,weekday-tuesday,
encounter-condition-value,weekday-wednesday,
encounter-condition-value,weekday-thursday,
encounter-condition-value,weekday-friday,
encounter-condition-value,weekday-saturday,
encounter-condition-value,first-party-pokemon-high-friendship,
encounter-condition-value,story-progress-defeat-mars,
encounter-condition-value,item-odd-keystone,
encounter-condition-value,other-talked-to-32-people-underground,
encounter-condition-value,story-progress-returned-machine-part,
encounter-condition-value,other-event-arceus-in-party,
encounter-method,walk,
encounter-method,old-rod,
encounter-method,good-rod,
encounter-method,super-rod,
encounter-method,surf,
encounter-method,rock-smash,
encounter-method,headbutt,
encounter-method,dark-grass,
encounter-method,grass-spots,
encounter-method,cave-spots,
encounter-method,bridge-spots,
encounter-method,super-rod-spots,
encounter-method,surf-spots,
encounter-method,yellow-flowers,
encounter-method,purple-flowers,
encounter-method,red-flowers,
encounter-method,rough-terrain,
encounter-method,gift,
encounter-method,gift-egg,
encounter-method,only-one,
encounter-method,pokeflute,
encounter-method,headbutt-low,
encounter-method,headbutt-normal,
encounter-method,headbutt-high,
encounter-method,squirt-bottle,
encounter-method,wailmer-pail,
encounter-method,seaweed,
encounter-method,roaming-grass,
encounter-method,roaming-water,
encounter-method,devon-scope,
encounter-method,feebas-tile-fishing,
encounter-method,island-scan,
encounter-method,sos-encounter,
encounter-method,bubbling-spots,
encounter-method,berry-piles,
encounter-method,npc-trade,
encounter-method,sos-from-bubbling-spot,
evolution-trigger,level-up,
evolution-trigger,trade,
evolution-trigger,use-item,
evolution-trigger,shed,
evolution-trigger,spin,
evolution-trigger,tower-of-darkness,
evolution-trigger,tower-of-waters,
evolution-trigger,three-critical-hits,
evolution-trigger,take-damage,
evolution-trigger,other,
evolution-trigger,agile-style-move,
evolution-trigger,strong-style-move,
evolution-trigger,recoil-damage,
gender,female,
gender,male,
gender,genderless,
generation,generation-i,
generation,generation-ii,
generation,generation-iii,
generation,generation-iv,
generation,generation-v,
generation,generation-vi,
generation,generation-vii,
generation,generation-viii,
generation,generation-ix,
growth-rate,slow,
growth-rate,medium,
growth-rate,fast,
growth-rate,medium-slow,
growth-rate,slow-then-very-fast,
growth-rate,fast-then-very-slow,
item,master-ball,
item,ultra-ball,
item,great-ball,
item,poke-ball,
item,safari-ball,
item,net-ball,
item,dive-ball,
item,nest-ball,
item,repeat-ball,
item,timer-ball,
item,luxury-ball,
item,premier-ball,
item,dusk-ball,
item,heal-ball,
item,quick-ball,
item,cherish-ball,
