resource,name,summary
version-group,red-blue,"**Red-Blue version group**: The Pokémon Red and Blue versions are part of the first generation of Pokémon games, released for the Game Boy in 1996 in Japan (with Red paired with Green instead of Blue) and later in 1998 in North America and other regions. Developed by Game Freak and published by Nintendo, these games are the pioneers of the Pokémon series, setting the stage for a worldwide phenomenon.

**Key Features**:
1. **Region**: The games are set in the Kanto region, a diverse area with towns, cities, routes, caves, and seas that players explore. Kanto features various landscapes, from forests and mountains to urban centers and coastal areas.
2. **Pokédex**: Red and Blue introduced the original 151 Pokémon. Players assume the role of a young trainer on a quest to capture and train Pokémon, ultimately aiming to become the Pokémon Champion.
3. **Gameplay Mechanics**: Core mechanics established by these games include capturing Pokémon"
version-group,yellow,"**Pokémon Yellow Version** is part of the first generation of Pokémon games and was released as a special edition following the Pokémon Red and Blue versions. Officially titled **""Pokémon Yellow: Special Pikachu Edition,""** it was released for the Game Boy in 1998 in Japan and 1999 in North America and other regions.

### Key Features:
1. **Pikachu as the Starter Pokémon**: Unlike Red and Blue where players choose between Bulbasaur, Charmander, and Squirtle, in Yellow, players start with a Pikachu that follows them around outside its Poké Ball, emulating Ash's Pikachu from the Pokémon anime series.
  
2. **Pokémon Sprites and Colors**: The game's graphics were enhanced to better utilize the Game Boy Color's capabilities, providing more vibrant and detailed sprites.

3. **Anime Influence**: Pokémon Yellow closely follows elements of the Pokémon anime, incorporating characters like Jessie and James from Team Rocket, who weren’t"
version-group,gold-silver,"**Generation II** consists of the Pokémon Gold and Silver versions, which were released for the Game Boy Color. This generation was later complemented by Pokémon Crystal, an enhanced version introducing several new features and improvements. 

**Key Features:**

1. **New Region and Pokémon:**
   - Introduced the Johto region, extending the Pokémon universe beyond the original Kanto region.
   - Added 100 new Pokémon to the existing roster, bringing the total to 251.
   - Players could visit the Kanto region after completing the Johto region, providing access to a total of 16 gym badges to collect.

2. **Time and Day/Night Cycle:**
   - Introduced a real-time internal clock that influenced various in-game events, such as the appearance of certain wild Pokémon, and specific evolutions.
   - The game experienced a day and night cycle, which also influenced the gameplay and Pokémon encounters.

3. **Breeding and Gender:**
   - Introduced Pokémon breeding"
version-group,crystal,"**Pokémon Crystal** is a part of the Generation II main series Pokémon games, alongside Pokémon Gold and Silver, for the Game Boy Color. Released in Japan on December 14, 2000, and in North America on July 29, 2001, it serves as an enhanced version of Pokémon Gold and Silver with several notable improvements and unique features.

**Key Features:**

1. **Enhanced Graphics and Animation:**
   - Pokémon Crystal was the first game in the series to feature animated sprites for Pokémon in battle, adding a dynamic visual element that brought the creatures to life. This was a significant improvement over the static sprites used in previous games.

2. **Storyline and Suicune Focus:**
   - The game's storyline places a greater emphasis on the Legendary Pokémon Suicune, adding new plot elements, characters, and events centered around this Pokémon. Players encounter Suicune multiple times throughout their journey, culminating in a special battle at the Tin Tower.
   - It"
version-group,ruby-sapphire,"**Ruby-Sapphire** is a version group from **Generation III** of the Pokémon series, comprising the games Pokémon Ruby and Pokémon Sapphire. Released for the Game Boy Advance in 2002 in Japan and 2003 in North America and Europe, these entries marked a significant evolution in the series both graphically and mechanically.

Key Features:
1. **The Hoenn Region**: Ruby and Sapphire introduced the expansive and richly diverse Hoenn region, known for its extensive water routes and diverse climates ranging from arid deserts to lush forests. The region introduced unique environment-based gameplay elements, such as diving underwater.
  
2. **Pokémon Contests**: A major new feature was Pokémon Contests, where players could enter their Pokémon into various contest categories like Beauty, Coolness, and Cuteness. This side activity provided an alternative to traditional battling.

3. **Double Battles**: Ruby and Sapphire introduced Double Battles, where two Pokémon from each side battle simultaneously. This added a layer of"
version-group,emerald,"**Pokémon Emerald Version** is part of the Generation III series of Pokémon games and is a companion to Pokémon Ruby and Sapphire. Released in 2004 in Japan and 2005 worldwide, Pokémon Emerald is notable for being an enhanced version of the Ruby and Sapphire games, featuring several updated gameplay mechanics, additional content, and new story elements.

**Key Features:**

1. **Battle Frontier:** One of the most significant additions in Pokémon Emerald is the Battle Frontier, a facility that offers various battle challenges with unique rules, providing an end-game experience that was far more intricate and engaging compared to its predecessors. Players can earn Battle Points (BP) and exchange them for rare items and tutoring services for Pokémon moves.

2. **Gym Leader Rematches:** Unlike Ruby and Sapphire, Emerald allows players to rematch Gym Leaders, making it possible to earn experience and enjoy more battles after beating the main storyline.

3. **Double Battles & Multi Battles:** Double battles were introduced in Ruby and Sapphire, but"
version-group,firered-leafgreen,"**FireRed-LeafGreen** refers to the Generation III games Pokémon FireRed and Pokémon LeafGreen, which are enhanced remakes of the original Pokémon Red and Blue games. These titles were developed by Game Freak and published by Nintendo and The Pokémon Company for the Game Boy Advance. The games were first released in Japan in January 2004, followed by releases in North America, Australia, and Europe later that year.

**Key Features:**

1. **Updated Graphics and Sound:** FireRed and LeafGreen boast significantly improved graphics and sound compared to their original counterparts. The visual and auditory enhancements take advantage of the Game Boy Advance's increased processing power.

2. **Wireless Adapter:** Both games were packaged with a Game Boy Advance Wireless Adapter, which allowed players to trade and battle Pokémon wirelessly. This innovation marked one of the first instances of wireless connectivity in Pokémon games.

3. **Sevii Islands:** A new addition to the storyline, the Sevii Islands are a group of seven islands"
version-group,diamond-pearl,"**Diamond-Pearl Version Group**

**Games in this Group:**
1. **Pokémon Diamond**
2. **Pokémon Pearl**
3. **Pokémon Platinum** (an enhanced version of Diamond and Pearl)

**Key Features:**
- **Region:** The Sinnoh region, characterized by a diverse landscape that includes snowy mountains, dense forests, and vast lakes.
- **Pokémon Introduced:** A total of 107 new Pokémon, bringing the total number of Pokémon to 493. Notable new Pokémon include the starters Turtwig, Chimchar, and Piplup, as well as the legendary mascots Dialga (Diamond) and Palkia (Pearl).
- **Legendary Pokémon:** In addition to Dialga and Palkia, other significant legendaries introduced are Giratina (featured in Pokémon Platinum), Uxie, Mesprit, Azelf, and Arceus, the latter often referred to as the ""God of Pokémon.""
- **"
version-group,platinum,"**Pokémon Platinum**

**Games in the Group**: 
Pokémon Platinum version is a single game in the Pokémon main series and serves as the enhanced version of the Pokémon Diamond and Pearl games. Released originally in Japan in September 2008, it later rolled out internationally between March and May 2009.

**Key Features**:

1. **Distortion World**: One of the unique aspects of Platinum is the Distortion World, a surreal, physics-defying area where the legendary Pokémon Giratina resides in its Origin Forme. This space presents unique gameplay mechanics with altered gravity and spatial puzzles.

2. **Pokémon Forms**: Giratina’s Origin Forme was introduced in Platinum, accessible through the Griseous Orb in the Distortion World. Shaymin also received a new Sky Forme, which changes its type and stats.

3. **Enhanced Storyline**: Compared to Diamond and Pearl, the storyline in Platinum includes more involvement with the villainous team, Team Galactic"
version-group,heartgold-soulsilver,"**HeartGold and SoulSilver** are part of the fourth generation of Pokémon games, released for the Nintendo DS. They are enhanced remakes of the original Pokémon Gold and Silver, released for the Game Boy Color. 

### Games in This Group:
- **Pokémon HeartGold**: Released in Japan on September 12, 2009, and internationally in March 2010.
- **Pokémon SoulSilver**: Released simultaneously with HeartGold, these games offer an updated experience of the classic Pokémon Silver.

### Key Features:
1. **Graphics and Presentation**: These versions feature updated graphics that take full advantage of the Nintendo DS's capabilities, presenting a more vibrant and detailed world compared to the originals.
2. **Two Regions**: Players can explore both the Johto and Kanto regions, providing a broad and diverse adventure that includes up to 16 badges to collect after defeating the Elite Four.
3. **Pokéwalker**: Each game was bundled with a Poké"
