"resource","name","summary"
"item","poke-ball","**Poke-Ball** is a fundamental item in the Pokémon series, primarily used for capturing wild Pokémon. When a Poke-Ball is thrown at a wild Pokémon, it grants the player a chance to catch it and add it to their team. The success rate of capturing a Pokémon with a Poke-Ball depends on several factors, including the Pokémon's current HP, any status conditions it may have (such as Sleep or Paralysis), and its capture rate—a hidden statistic that varies among different species.

The Poke-Ball is the most basic type of Poké Ball available in the game series. It serves as the introductory item for catching Pokémon and is typically the first kind of Poké Ball players obtain. In various games, Poke-Balls can be purchased in Poké Marts for 200 Poké Dollars.

Here are some key details about Poke-Balls:
- **Appearance:** The Poke-Ball has a red upper half, a white lower half, and"
"item","master-ball","**Master Ball** is a unique and highly sought-after item in the Pokémon series, known primarily for its 100% capture rate. Unlike other Poké Balls, the Master Ball guarantees a successful catch regardless of the opponent's level, HP, status condition, or catch rate, making it invaluable for capturing Legendary or otherwise hard-to-catch Pokémon.

### Effects and Usage
1. **Guaranteed Capture:** The primary effect of the Master Ball is to ensure a guaranteed capture of any wild Pokémon, making it an essential item for Trainers aiming to capture Legendary Pokémon or rare roaming Pokémon that are notoriously difficult to catch.
2. **Finite Availability:** Most Pokémon games only provide players with one Master Ball during their main storyline, typically given by an NPC such as the game's Professor or the CEO of a significant in-game corporation like Silph Co. in Pokémon Red/Blue/Yellow or Mr. Pokémon in Pokémon Gold/Silver/Crystal. As a result, players often save their Master Ball for extremely rare encounters"
"item","ultra-ball","**Ultra Ball** is a type of Poké Ball available in the Pokémon series that is used for catching wild Pokémon. It is an upgraded version of the standard Poké Ball and Great Ball, offering a higher success rate in capturing Pokémon due to its superior catch rate modifier. The Ultra Ball boasts a catch rate that is 2 times higher than that of a regular Poké Ball, making it a valuable tool for trainers, especially when attempting to capture stronger or rarer Pokémon.

**Effects and Characteristics:**
- **Catch Rate Modifier**: The Ultra Ball has a catch rate modifier of 2. This effectively doubles the base chance of capturing a wild Pokémon compared to a standard Poké Ball.
- **Design**: The Ultra Ball is distinguished by its black and yellow coloring with two vertical stripes running from the top to the bottom.
- **Usage**: It can be used during wild Pokémon encounters by selecting it from the trainer's inventory. The performance varies depending on the remaining HP of the"
"item","great-ball","**Great Ball** is a type of Poké Ball that offers a higher success rate of capturing wild Pokémon compared to a standard Poké Ball. Specifically, it has a 1.5× catch rate modifier, making it more effective for capturing Pokémon that are moderately difficult to catch. The Great Ball is often considered a mid-tier option, positioned between the basic Poké Ball and the more advanced Ultra Ball in terms of effectiveness.

Some key details and interesting facts about the Great Ball include:

1. **Design**: The Great Ball is easily recognizable by its blue color with red accents, distinguishing it from the classic red and white design of the standard Poké Ball.

2. **Availability**: In most Pokémon games, Great Balls become available for purchase after the player has obtained a few Gym Badges, reflecting the progression of the game's difficulty.

3. **Cost**: Typically, a Great Ball is more expensive than a standard Poké Ball but less costly than an Ultra Ball, striking a"
"item","safari-ball","**Safari Ball** is a special type of Poké Ball used exclusively within the Safari Zone, a unique area found in various Pokémon games where players are tasked with catching Pokémon under a set of special rules. The Safari Ball has a distinct appearance, typically featuring a camouflage pattern or greenish hue to match the Safari theme.

**Effects:**
- The Safari Ball has the same catch rate as a standard Poké Ball, which is 1×. However, its effectiveness can be influenced by other factors within the Safari Zone, such as using bait or rocks to manipulate the Pokémon's behavior.
- It can only be used within the confines of the Safari Zone; players cannot use or obtain it outside this area.

**Interesting Facts:**
1. **Exclusive Use**: Unlike other Poké Balls, the Safari Ball cannot be bought or used in regular gameplay. It is issued to the player upon entering the Safari Zone and serves as the primary tool for capturing Pokémon in this specific area.
2. **"
"item","net-ball","**Net Ball** is a type of Poké Ball that is particularly effective at catching Water-type and Bug-type Pokémon. When used against these types, the Net Ball has a catch rate modifier of 3.5× in games from Generation VI onwards, and a 3× modifier in previous generations. For Pokémon that do not belong to either type, the Net Ball performs the same as a standard Poké Ball, with a catch rate modifier of 1×.

**Effects:**
1. **Increased Catch Rate:** The Net Ball's primary feature is its enhanced ability to catch Water-type and Bug-type Pokémon, significantly improving the chances of capture compared to a regular Poké Ball. This makes it especially useful for trainers focusing on these types, whether for team building or completing the Pokédex.
2. **Utility in Specific Locations:** Given that many Water-type Pokémon are found while fishing or surfing and Bug-type Pokémon are often encountered in forests and bug-catching events, the Net Ball can"
"item","dive-ball","**Dive Ball** is a specialized Poké Ball in the Pokémon series designed to enhance the capture rates of Pokémon found in specific environments. Its primary effect is to improve the odds of successfully catching wild Pokémon encountered either while surfing on water or during underwater dives. Specifically, it offers a 3.5x catch rate modifier for such Pokémon, making it one of the most effective balls for aquatic creatures.

Introduced in Generation III in Pokémon Ruby, Sapphire, and Emerald, the Dive Ball has been a useful tool for trainers wanting to complete their Pokédex, especially for those targeting water-dwelling Pokémon like Tentacool, Wailmer, and Relicanth.

Aesthetically, the Dive Ball is distinct with its blue and white color scheme, which reflects its aquatic functionality. Additionally, its design resembles a diving helmet, emphasizing its intended use underwater.

It's worth noting that while the Dive Ball excels in capturing water-bound Pokémon, it has no increased effect on land-based or other non-a"
"item","nest-ball","**Nest Ball** is a type of Poké Ball in the Pokémon series that offers a higher catch rate for Pokémon that are at lower levels. Specifically, its effectiveness increases as the wild Pokémon's level decreases, making it particularly useful for catching weaker or early-game Pokémon.

### Effects:
- **Catch Rate**: The catch rate of a Nest Ball is determined by the formula:
   - \\( \\text{Catch Rate} = \\frac{(40 - \\text{wild Pokémon's Level})}{10} \\)
   - This means that for a low-level Pokémon, the catch rate multiplier can go up to a maximum of 4× (at Level 1), while for higher-level Pokémon, it becomes less effective, eventually equating to a standard Poké Ball (1×) at Level 30 and above.
  
### Interesting Facts:
- **Introduction**: The Nest Ball was introduced in Generation III of the Pokémon games, specifically starting with Pokémon Ruby and Sapphire.
- **"
"item","repeat-ball","**Repeat Ball** is a specialized Poké Ball designed to capture Pokémon more effectively if the trainer has previously registered that same Pokémon species in their Pokédex. When used, the Repeat Ball grants a 3.5× catch rate multiplier, significantly increasing the chances of successfully capturing a Pokémon that the trainer already owns. This makes it particularly useful for trainers looking to build competitive teams, complete their Pokédex, or breed Pokémon with optimal stats and abilities.

Introduced in Generation III, the Repeat Ball’s unique effect has made it a valuable asset for Pokémon breeders and shiny hunters alike. When a trainer is aiming to obtain multiple Pokémon of the same species, whether for breeding specific traits or for the elusive high IVs, the Repeat Ball's enhanced capture rate can save significant time and effort.

The design of the Repeat Ball features a distinctive red and white color scheme with blue stripes, differentiating it visually from other Poké Balls. It can typically be purchased from various Poké Marts in game"
"item","timer-ball","**Timer Ball** is a type of Poké Ball introduced in Generation III, designed to become more effective at capturing Pokémon as the duration of the battle increases. Unlike standard Poké Balls, which have a fixed catch rate, the Timer Ball’s effectiveness grows the longer the battle lasts. Specifically, its catch rate multiplier increases by 0.1x for each turn that passes, with a ceiling of 4x after 30 turns or more. This makes it particularly useful in prolonged encounters, especially when trying to capture Pokémon with lower catch rates or during difficult battles where weakening the wild Pokémon requires more time.

Key effects and interesting facts:
1. **Catch Rate Calculation:** The formula for the Timer Ball's multiplier is (1 + number of turns passed × 0.1), up to a maximum multiplier of 4x after 30 turns. This means its effectiveness ranges from 1.0× (at the start of the battle) to 4.0× (after 30"
