"resource","name","summary"
"ability","speed-boost","**Speed Boost** is a Pokémon ability introduced in Generation III.\r
\r
**Effect:**\r
\r
- Increases the Speed stat of the Pokémon with this ability by one stage at the end of each turn.\r
- Activates automatically and consistently at the end of every turn, as long as the Pokémon with this ability remains in battle.\r
- The boost persists even if the Pokémon is switched out.\r
- Can accumulate multiple stages over several turns, significantly enhancing the Pokémon's Speed.\r
\r
**In Battle:**\r
\r
- Provides a dynamic offensive advantage by allowing the Pokémon to outspeed opponents after a turn or two.\r
- Particularly effective for Pokémon aiming to sweep through teams, as they can quickly accumulate Speed boosts to outspeed even the fastest threats.\r
- Encourages aggressive playstyles, as the ability inherently rewards staying in battle rather than switching out.\r
- Can be countered by moves or abilities that reset stat changes, such as Haze or Clear Smog.\r
\r
**Pokémon with this Ability:**\r
\r
- Blaziken (standard ability, which contributed to its competitive prominence)\r
- Ninjask (standard ability, often used for Baton Pass strategies)\r
- Scolipede (hidden ability, utilizing both offensive and support roles)\r
- Yanmega (hidden ability, increasing its sweeping potential)\r
\r
**Competitive Use:**\r
\r
- Highly valued for its ability to transform slower Pokémon into potent sweepers over the course of a battle.\r
- Often paired with moves like Protect to safely accumulate Speed boosts without taking damage.\r
- Blaziken, with Speed Boost, was so dominant that it was banned to the Uber tier in several competitive formats.\r
- Scolipede uses Speed Boost to effectively pass Speed boosts to teammates via Baton Pass, enhancing team strategies.\r
\r
**Interesting Facts:**\r
\r
- Speed Boost was initially unique to Ninjask in Generation III, highlighting its thematic association with speed and agility.\r
- The ability's introduction to Blaziken in Generation V significantly increased its competitive viability, leading to its notable rise in usage.\r
- Speed Boost's mechanics are visually depicted in games with a quick animation at the end of each turn, emphasizing the Pokémon's increasing agility.\r
- In the Pokémon anime, Speed Boost is often shown with a visual flair, indicating the enhanced swiftness and reaction time of the Pokémon using it."
"ability","sturdy","**Sturdy** is a Pokémon ability introduced in Generation III.\r
\r
**Effect:**\r
\r
- Prevents the Pokémon from being knocked out in one hit, leaving it with 1 HP if its HP was full before the attack\r
- Grants immunity to one-hit KO moves: Fissure, Guillotine, Horn Drill, and Sheer Cold\r
- If the Pokémon is holding a Focus Sash, Sturdy takes precedence, and the item is not consumed\r
\r
**In Battle:**\r
\r
- Acts as a built-in Focus Sash, ensuring that the Pokémon can survive at least one attack when at full HP\r
- Allows a Pokémon to set up moves or retaliate after surviving a hit\r
- Provides an opportunity to use status-inducing or strategic moves like Stealth Rock, Spikes, or Toxic\r
- Particularly useful for setting up hazards or using moves like Endeavor\r
- Can be nullified by multi-hit moves or indirect damage like Sandstorm, Hail, or entry hazards if the Pokémon isn't at full HP\r
\r
**Pokémon with this Ability:**\r
\r
- Geodude (standard ability)\r
- Onix (standard ability)\r
- Aggron (standard ability)\r
- Skarmory (standard ability)\r
- Golem (standard ability)\r
- Several other Rock, Ground, and Steel-type Pokémon\r
\r
**Competitive Use:**\r
\r
- Frequently employed on Pokémon that are meant to set up entry hazards or disrupt the opponent’s strategy\r
- Provides security against unexpected powerful attacks, enabling strategic play\r
- Often used in combination with moves that benefit from survival, like Explosion or Counter\r
- Can be a surprise factor in battles, especially when opponents expect an easy knockout\r
- Works effectively with Pokémon that have access to recovery moves or Leftovers to regain full HP\r
\r
**Interesting Facts:**\r
\r
- Originally only provided immunity to one-hit KO moves until Generation V, when the effect was expanded to prevent being knocked out in one hit\r
- Commonly found on Pokémon with high Defense stats, enhancing their role as defensive pivots\r
- The ability's name reflects its function, providing resilience akin to being ""sturdy""\r
- Notably featured in the Pokémon anime, showcasing the dramatic survival against powerful attacks"
"ability","unburden","**Unburden** is an ability in the Pokémon series that significantly enhances a Pokémon's speed in battle. When a Pokémon with Unburden loses or uses its held item, its Speed stat is doubled. This dramatic increase in speed can be a game-changer, allowing the Pokémon to outspeed opponents it normally could not.

### Effects
1. **Triggering the Ability**: Unburden activates when the holder's item is consumed or removed. This includes using a consumable item like a Berry, being hit by moves that remove items (such as Knock Off), or using moves like Acrobatics that depend on not holding an item.
2. **Speed Boost**: Once Unburden is activated, the Pokémon's Speed stat is doubled. This effect remains until the Pokémon switches out or faints, persisting for the entire duration that it's on the field.
3. **Stacking**: The Speed boost from Unburden can stack with other Speed-boosting effects,"
"ability","static","**Static** is a Pokémon ability introduced in Generation III.\r
\r
**Effect:**\r
\r
- Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.\r
- Pokémon that are immune to electric-type moves can still be paralyzed by this ability.\r
- In the overworld, if the lead Pokémon has this ability, there is a 50% chance that encounters will be with an Electric-type Pokémon, if applicable.\r
\r
**In Battle:**\r
\r
- Provides defensive utility by potentially paralyzing opponents that make contact, which can reduce their speed and sometimes prevent them from attacking.\r
- Effective against physical attackers and Pokémon that rely on contact moves.\r
- Can disrupt strategies that depend on speed or consistent attacking, providing an edge in battle.\r
- Pairs well with Pokémon that can capitalize on the reduced speed of paralyzed opponents.\r
\r
**Pokémon with this Ability:**\r
\r
- Pikachu (standard ability)\r
- Electabuzz (standard ability)\r
- Ampharos (standard ability)\r
- Stunfisk (standard ability)\r
- Voltorb (standard ability)\r
- Many other Electric-type Pokémon\r
\r
**Competitive Use:**\r
\r
- Valued for its ability to inflict paralysis without using a turn, adding an element of unpredictability.\r
- Particularly useful on bulky Electric-types that can take hits and retaliate against slower, paralyzed foes.\r
- Often used on teams that aim to control the speed of the battle by spreading paralysis.\r
- Can deter opponents from using physical contact moves, giving the user's team tactical advantages.\r
\r
**Interesting Facts:**\r
\r
- Static is one of the few abilities that directly interacts with contact moves, making it a strategic consideration for both offensive and defensive play.\r
- It reflects the theme of electricity causing paralysis, a common trope in both the Pokémon games and the anime.\r
- Pikachu, the series mascot, prominently features Static in various media appearances, highlighting its iconic status.\r
- The ability's overworld effect can be used to strategically encounter specific Electric-type Pokémon, aiding in team building."
"ability","volt-absorb","**Volt Absorb** is a Pokémon ability introduced in Generation III.\r
\r
**Effect:**\r
\r
- When hit by an Electric-type move, the Pokémon with this ability heals for 1/4 of its maximum HP, negating any damage or effects of the move.\r
- This ability also works with non-damaging Electric-type moves like Thunder Wave, preventing status conditions such as paralysis.\r
- Does not activate if the Pokémon is Ground-type and immune to Electric moves due to type interactions. Additionally, Electric moves bypass the Pokémon's Substitute.\r
- Works even if the Pokémon is affected by Ingrain or Heal Block, but it will not activate if the Pokémon is protected by moves like Protect or Detect.\r
\r
**In Battle:**\r
\r
- Provides significant defensive utility by granting immunity to Electric-type moves and healing the user.\r
- Effective for switching into Electric-type attacks, allowing strategic health recovery and creating opportunities for tactical play.\r
- Can shift momentum in battles by neutralizing key Electric-type threats and providing sustainability.\r
- Synergizes well with Pokémon that can bait Electric-type moves, creating opportunities for healing and counterattacks.\r
\r
**Pokémon with this Ability:**\r
\r
- Jolteon (standard ability)\r
- Lanturn (standard ability)\r
- Thundurus (Hidden Ability)\r
- Chinchou (standard ability)\r
- Raichu (Hidden Ability, Alolan form)\r
\r
**Competitive Use:**\r
\r
- Widely appreciated in competitive play for its ability to neutralize Electric-type threats and sustain the Pokémon's health in battle.\r
- Often seen on Electric-type Pokémon, providing them with an immunity to their own type's weaknesses.\r
- Can be used strategically to absorb Electric-type moves aimed at teammates in doubles or multi-battle formats, providing team support.\r
- Valuable in environments with prevalent Electric-type moves, providing a tactical edge and enhancing team durability.\r
\r
**Interesting Facts:**\r
\r
- Volt Absorb is one of the few abilities that not only provides immunity but also heals the user, making it a highly desirable trait.\r
- Despite its introduction in Generation III, it has maintained relevance and utility across subsequent generations due to the prevalence of Electric-type moves.\r
- The ability's healing effect can be visually represented in the games by a brief animation showing the Pokémon regaining health when struck by an Electric-type move.\r
- In the Pokémon anime, Pokémon with Volt Absorb are often depicted as skillfully absorbing and nullifying Electric attacks, showcasing their unique defensive capabilities."
"ability","oblivious","**Oblivious** is a Pokémon ability introduced in Generation III.\r
\r
**Effect:**\r
\r
- Prevents the Pokémon from becoming infatuated through moves like Attract.\r
- Grants immunity to the move Captivate, which lowers the Special Attack stat.\r
- If a Pokémon is infatuated and then acquires this ability, its infatuation is immediately cured.\r
- In Generation VIII onwards, Oblivious also prevents the Pokémon from being affected by Taunt, which stops the use of non-damaging moves.\r
\r
**In Battle:**\r
\r
- Oblivious provides strategic utility by negating infatuation, Captivate, and Taunt, which can otherwise disrupt a Pokémon's ability to execute its moveset effectively.\r
- Particularly useful for support or setup Pokémon that rely on status moves, as it ensures they aren't shut down by Taunt users.\r
- Enhances the Pokémon's role as a reliable status setter or wall, as it can consistently perform its intended actions without being hindered by certain disruptive strategies.\r
\r
**Pokémon with this Ability:**\r
\r
- Slowbro (standard ability)\r
- Snorlax (standard ability)\r
- Swinub (standard ability)\r
- Lickitung (standard ability)\r
- Many other Pokémon with a focus on defensive or support roles\r
\r
**Competitive Use:**\r
\r
- Oblivious is valued in competitive play for its ability to guarantee the use of crucial non-damaging moves without interference from Taunt.\r
- Often seen on Pokémon that are intended to set up entry hazards, use recovery moves, or spread status conditions.\r
- Provides a safeguard against teams that rely on Taunt to disable setup strategies, giving the user's team more flexibility.\r
- Can be used to maintain momentum in matches by ensuring key status moves are executed without interruption.\r
\r
**Interesting Facts:**\r
\r
- Oblivious was originally focused on preventing infatuation and Captivate, but its utility increased significantly with the Generation VIII buff adding Taunt immunity.\r
- The ability reflects a Pokémon's unyielding focus or lack of awareness to emotional manipulation, aligning with its name.\r
- Featured in the anime, where Pokémon with Oblivious often appear unfazed by the charming tactics of others.\r
- One of the few abilities that has been enhanced post-introduction, increasing its relevance in newer generations."
"ability","cloud-nine","**Cloud Nine** is a Pokémon ability introduced in Generation III.\r
\r
**Effect:**\r
\r
- While a Pokémon with Cloud Nine is in battle, all effects of weather conditions (such as rain, sun, sandstorm, and hail) are negated.\r
- Although the weather itself remains active, its effects, such as damage from hail or sandstorm and boosts from sun or rain, do not occur.\r
- Functions identically to the ability Air Lock.\r
\r
**In Battle:**\r
\r
- Provides strategic utility by nullifying weather advantages, which can disrupt teams that rely heavily on weather-based strategies.\r
- Particularly effective against weather teams that use abilities like Swift Swim, Chlorophyll, or Sand Rush, as it prevents them from gaining speed boosts.\r
- Can be used to protect teammates from passive damage caused by weather conditions.\r
- Useful for teams that do not want to be hindered by opposing weather without committing to a weather-inducing strategy themselves.\r
\r
**Pokémon with this Ability:**\r
\r
- Psyduck (Hidden Ability)\r
- Golduck (Hidden Ability)\r
- Altaria (Hidden Ability)\r
- Lickitung (Hidden Ability)\r
- Lickilicky (Hidden Ability)\r
- Swablu (Hidden Ability)\r
\r
**Competitive Use:**\r
\r
- Cloud Nine is valuable in competitive play for teams looking to counter weather-based strategies without dedicating a team slot to a weather setter.\r
- It can provide an advantage against teams that rely on weather for speed boosts or additional damage, effectively neutralizing threats like Kingdra in rain or Excadrill in sandstorm.\r
- Commonly used on Pokémon that can switch in and negate weather effects, providing team support without needing to use a move.\r
\r
**Interesting Facts:**\r
\r
- Cloud Nine is conceptually linked to the idiom ""on cloud nine,"" which means to be blissfully happy, possibly reflecting the carefree nature of the Pokémon that have this ability.\r
- Despite being identical in function to Air Lock, Cloud Nine is less common and is generally found on non-Legendary Pokémon.\r
- The ability's effect is not visually represented in battle, meaning players must keep track of its presence by observing the Pokémon with the ability.\r
- Cloud Nine has been featured in the anime, showcasing its ability to neutralize weather conditions, thereby emphasizing its strategic importance."
"ability","shield-dust","**Shield Dust** is an ability in the Pokémon series that offers unique protective benefits to the Pokémon possessing it. The primary effect of Shield Dust is that it prevents additional effects that might be caused by an opponent's moves. Specifically, any secondary effects that are supposed to occur as a result of a damaging move—such as causing a status condition (like paralysis from Thunderbolt or burn from Flamethrower), flinching, or stat changes—are nullified if the attack hits a Pokémon with Shield Dust.

### Key Effects:
- **Nullification of Secondary Effects:** Moves that typically have a chance to cause secondary effects will only deal damage when used against a Pokémon with Shield Dust. For example, moves like Scald, which can inflict a burn, and Ice Beam, which can cause freezing, will solely exert their damage component with no possibility of their secondary effects.
  
### Other Interesting Facts:
- **Strategic Advantage:** Shield Dust is particularly useful in competitive battling where the likelihood of"
"ability","own-tempo","**Own Tempo** is an ability in the Pokémon series that primarily prevents the Pokémon possessing it from becoming confused. This includes confusion caused by moves like Swagger, Teeter Dance, and dynamic events like confusion caused by hitting themselves in confusion. The benefit of avoiding confusion makes it a valuable ability in battles where moves aimed at inducing confusion are prevalent.

Additionally, in Generation VII and onwards, Own Tempo grants immunity to the Intimidate ability, which would normally lower the Attack stat of the affected Pokémon. This added effect makes Own Tempo even more advantageous for physical attackers who rely on maintaining high Attack stats.

Some notable Pokémon that have the Own Tempo ability include:

- **Lilligant**: A Grass-type Pokémon known for its special moves and status effects in battle.
- **Rockruff and Lycanroc**: In their Dusk Forme, these Rock-type Pokémon can harness Own Tempo to avoid Attack drops and confusion without compromising their aggressive battle style.
- **Slowbro and Slowking**: These"
"ability","color-change","**Color Change** is a Pokémon ability introduced in Generation III.\r
\r
**Effect:**\r
\r
- Changes the user's type to that of a damaging move it is hit by\r
- If the Pokémon has two types, both are overridden by the new type\r
- Only activates when the Pokémon takes direct damage from a move\r
- Does not activate if the move is blocked by a Substitute or deals indirect damage\r
- Only the last hit of a multi-hit move changes the type\r
- Does not activate on Shadow-type moves in Pokémon Colosseum and XD: Gale of Darkness\r
\r
**In Battle:**\r
\r
- Provides defensive versatility by adapting the Pokémon's type to incoming attacks\r
- Can make the Pokémon resistant to subsequent attacks of the same type\r
- Can potentially result in unfavorable type changes, depending on the opponent's moveset\r
- Works best with careful prediction and knowledge of the opponent's move types\r
- Makes the user less predictable, as opponents need to adapt their strategies\r
\r
**Pokémon with this Ability:**\r
\r
- Kecleon (standard ability)\r
\r
**Competitive Use:**\r
\r
- Offers situational utility by potentially gaining resistances or immunities\r
- Requires skillful play to maximize its benefits due to unpredictable type changes\r
- Best used in formats where opponents have limited move types\r
- Can be a double-edged sword, as opponents can exploit the type change\r
- Not commonly seen in high-level competitive play due to its unpredictable nature\r
\r
**Interesting Facts:**\r
\r
- Kecleon's design is based on a chameleon, which ties into the ability's theme of changing colors\r
- The ability reflects Kecleon's natural adaptability and camouflage skills\r
- Despite its unique effect, it remains a niche ability due to the potential drawbacks of unexpected type changes\r
- Color Change is often highlighted in Pokémon media for its thematic and visual appeal"
