resource,name,summary
pokemon,bulbasaur,"**Bulbasaur**

Bulbasaur is a dual-type Grass/Poison starter Pokémon introduced in Generation I.

**Type:** Grass / Poison

**Abilities:**
- **Overgrow:** Powers up Grass-type moves when the Pokémon's HP is low.
- **Hidden Ability:** Chlorophyll - Boosts the Pokémon's Speed stat in harsh sunlight.

**Physical Characteristics:**
- Blue-green body with darker blue-green spots.
- Has a plant bulb on its back, which grows as it evolves.
- Reddish-pink eyes.

**Behavior and Habitat:** 
- Mainly docile and can often be found soaking up the sun.
- Inhabits grasslands and forests.

**In Battle:**
- Can use Solar Beam, a powerful Grass-type move that takes one turn to charge.
- Can support its team through moves such as Leech Seed and Sleep Powder.

**Evolution:**
- Bulbasaur evolves into Ivysaur starting at level 16, which evolves into Venusaur starting at level 32.

**Interesting Facts:**
- Bulbasaur is the only starter Pokémon with a dual type in its basic stage.
- The bulb on Bulbasaur's back is said to have been planted when it was born.
- Bulbasaur's number in the Pokémon Pokedex is #001."
pokemon,ivysaur,"**Ivysaur**

Ivysaur is the evolution of Bulbasaur, known as the Seed Pokémon.

**Type:** Grass / Poison

**Abilities:**
- **Overgrow:** Enhances the power of Grass-type moves when Ivysaur's HP is below one-third.
- **Hidden Ability:** Chlorophyll - Doubles Ivysaur's Speed stat in sunny weather conditions.

**Physical Characteristics:**
- Ivysaur is primarily blue- or purple-skinned with darker blue spots.
- It has a large plant bulb on its back that is pinkish-red and green.
- The bulb has bloomed into a large and rounded plant with leaves that cover its body.

**Behavior and Habitat:**
- Ivysaur are known to bask in the sun to gather energy from the sunlight and feed the plant on their backs.
- Ivysaurs usually live in plains, forests, or other places where it can get plenty of sunlight.

**In Battle:**
- Its Grass/Poison typing gives it an edge against Water, Ground, and Rock types.
- Ivysaur can use status-afflicting moves to slow down and whittle away its opponents.

**Evolution:**
- Ivysaur is the evolved form of Bulbasaur, starting at level 16, and can evolve into Venusaur starting at level 32.

**Interesting Facts:**
- Despite its reptilian appearance, Ivysaur gets its energy primarily through photosynthesis, just like a plant.
- The weight of the plant on its back strengthens Ivysaur's legs and hips.
- An Ivysaur's plant will give off a sweet scent just before it evolves into Venusaur."
pokemon,venusaur,"**Venusaur**

Venusaur, pronounced ""VEE-nuh-saur"", is a final evolution Pokémon originating from the first generation.

**Type:** Grass / Poison

**Abilities:**
- **Overgrow:** Increases the power of Grass-type moves by 50% when the user has less than or equal to 1/3 of their maximum HP remaining.
- **Chlorophyll (Hidden Ability):** Doubles Venusaur's speed stat in sunny weather.

**Physical Characteristics:**
- Characterized by its large size, green plant-like body, and the large, blooming flower on its back.
- Upon evolution, Venusaur's plant drastically grows, becoming a large, treelike structure with a pink flower and large leaves.
- Venusaur's eyes appear to have evolved to a vibrant, sharp red.

**Behavior and Habitat:**
- It is often found in meadows and forests where sunlight is plentiful.
- Venusaur uses the flower on its back for photosynthesis, displaying a behavior similar to that of a plant.

**In Battle:**
- Given Venusaur's Grass/poison type, it can effectively counter Water, Fairy, and Fighting type Pokémon.
- Its Special Attack and Special Defense statistics are its primary assets in battle.

**Evolution:**
- Venusaur is the final form in the Bulbasaur line, evolving from Ivysaur at level 32.
  
**Interesting Facts:**
- Venusaur becomes significantly more active in the presence of sunlight, a behavior that is reflected in its ""Chlorophyll"" ability.
- Unlike many other Pokémon, both genders of Venusaur have visible differences; the male has a larger ""seed"" on its flower.
- The flower on Venusaur's back releases a soothing scent that attracts other Pokémon. The scent becomes stronger after a rainy day."
pokemon,charmander,"**Charmander**

Charmander, often known as the Lizard Pokémon, is a Generation I Pokémon species in Nintendo and Game Freak's Pokémon franchise.

**Type:** Fire

**Abilities:**
- **Blaze:** Ups fire-type moves' power when the Pokémon's HP is low.
- **Hidden Ability:** Solar Power - Boosts Charmander's Special Attack in sunshine but HP decreases every turn.

**Physical Characteristics:**
- An orange, dinosaur-like creature with a flame at the end of its tail.
- Blue eyes, four small fangs visible in its mouth
- Limbs are short and slender, with three claws on each foot.

**Behavior and Habitat:**
- Fearless and curious, but can become aggressive when it feels threatened.
- Prefers hot climates, such as mountainous regions.

**In Battle:**
- Known for speed and special attack stats.
- Fire-type moves are highly effective against grass, ice, bug, and steel Pokémon.

**Evolution:**
- Charmander evolves into Charmeleon at level 16, and into Charizard at level 36.

**Interesting Facts:**
- The flame on Charmander’s tail signifies its life force – a strong, healthy Charmander will have a high burning flame.
- Charmander's name is a combination of ""char"" meaning to burn, and ""salamander"".
- In Pokémon Red and Blue, Charmander is available as a starter Pokémon."
pokemon,charmeleon,"**Charmeleon**

Charmeleon is a fiery Pokémon known for its somewhat combative nature.

**Type:** Fire

**Abilities:**
- **Blaze:** Powers up the Pokémon's Fire-type moves when its HP is low.
- **Hidden Ability:** Solar Power - Boosts the Pokémon's Special Attack stat in sunny weather, but HP decreases every turn.

**Physical Characteristics:**
- Charmeleon stands at a height of 1.1 meters and weighs 19.0 kilograms.
- It has a dexterous tail that is usually ablaze with fire.
- It has a crimson body with smooth scales.

**Behavior and Habitat:**
- Charmeleon is known to have a combative nature and is quick to challenge to a battle.
- It generally inhabits rough terrains, including hot mountainous regions.

**In Battle:**
- Charmeleon's fiery tail can cause substantial damage to its adversaries.
- It can use a variety of power-boosting moves like Swords Dance to increase its physical prowess.

**Evolution:**
- Charmeleon evolves from Charmander starting at level 16 and evolves into Charizard starting at level 36.

**Interesting Facts:**
- The flame that burns at the tip of its tail is an indication of its emotions; the flame wavers when Charmeleon is enjoying itself or wavers when it is enraged.
- In the wild, Charmeleon has a fearsome reputation due to its belligerent nature.
- When hunting, Charmeleon can distinguish its prey by the heat it emits. It can use this ability to detect enemies and its surroundings when stamina is low."
pokemon,charizard,"**Charizard** is a dual-type Fire/Flying Pokémon that is the final evolutionary form of Charmander, evolving from Charmeleon starting at level 36. Known for its dragon-like appearance, Charizard is a popular and iconic Pokémon in the franchise.

**Type:** Fire/Flying

**Abilities:** 
1. **Blaze:** This ability increases the power of Charizard's Fire-type moves by 50% when its HP drops below one-third of its maximum.
2. **Hidden Ability (Solar Power):** This ability boosts Charizard's Special Attack by 50% when it is sunny but at the cost of some HP every turn.

**Interesting Facts:**
- **Evolution Chain:** Charmander (starting form) -> Charmeleon (evolves from Charmander at level 16) -> Charizard (evolves from Charmeleon starting at level 36).
- **Mega Evolutions:** Charizard has two Mega Evolutions, which are triggered by holding"
pokemon,squirtle,"**Squirtle** is a Water-type Pokémon, recognized as one of the original starter Pokémon in the Pokémon franchise. It is known for its cute and endearing appearance, resembling a small turtle with a hard shell.

**Type:** Water

**Abilities:** 
- **Torrent:** When Squirtle's HP is below one-third of its maximum, its Water-type moves become 50% stronger, giving it a crucial boost during critical moments in battle.
- **Hidden Ability (Rain Dish):** This ability allows Squirtle to regain some HP at the end of each turn if it's raining, making it more resilient in prolonged battles under rain conditions.

**Interesting Facts:**
- Squirtle is distinguished by its blue body, large eyes, and a curled tail. Its shell is a solid defense mechanism that helps protect it from attacks.
- Squirtle evolves into Wartortle at level 16 and eventually into Blastoise at level 36, both of which gain significant boosts"
pokemon,wartortle,"**Wartortle** is a Water-type Pokémon, recognized as the evolved form of Squirtle and can further evolve into Blastoise when exposed to sufficient experience points. Resembling a slightly tougher and more mature version of Squirtle, Wartortle is distinguished by its large, fluffy tail and wing-like ears, which give it a somewhat majestic appearance.

**Type:** Water

**Abilities:**
- **Torrent:** This ability boosts the power of Wartortle's Water-type moves by 50% when its HP falls below one-third of its maximum. This can be a game-changer during battles, offering a potential comeback mechanism.
- **Hidden Ability (Rain Dish):** With Rain Dish, Wartortle recovers a portion of its HP each turn if it's raining. This ability is particularly useful in strategies that involve weather control, enhancing Wartortle's longevity in battle.

**Interesting Facts:**
- **Appearance:** Wartortle's large, fluffy tail is not"
pokemon,blastoise,"**Blastoise** is a Water-type Pokémon renowned for its powerful water cannons and tank-like appearance. It is the final evolution of the Squirtle evolutionary line and evolves from Wartortle starting at level 36. Blastoise’s design is heavily influenced by turtles, and it carries two large cannons on its shell, which it uses to shoot powerful jets of water.

**Type:** Water

**Abilities:**
- **Torrent:** This ability boosts the power of Blastoise's Water-type moves by 50% when its HP falls below one-third of its maximum.
- **Hidden Ability (Rain Dish):** This ability restores Blastoise's HP by 1/16 of its maximum HP at the end of each turn if it is raining.

**Interesting Facts:**
- Blastoise is known for its incredible defense and formidable special attack, making it a versatile Pokémon in battle scenarios, capable of both enduring hits and delivering powerful attacks.
- Its signature move"
pokemon,caterpie,"**Caterpie** is a Bug-type Pokémon known for its simple, caterpillar-like appearance. It is typically green with yellow ring-shaped markings down its sides, a pair of large, yellow eyes with clear black pupils, and red, tentacle-like antennae on its head. Caterpie is primarily known for its ability to evolve rapidly, offering a glimpse into the Pokémon evolutionary process at an early stage.

**Type:** Bug

**Abilities:**
- **Shield Dust:** This ability prevents Caterpie from experiencing additional effects of moves used against it. For example, an attack that might also lower defense will only deal damage and not inflict the secondary effect.
- **Hidden Ability (Run Away):** This allows Caterpie to successfully flee from wild battles, regardless of other factors that might normally prevent escape.

**Interesting Facts:**
- **Evolution:** Caterpie evolves into Metapod starting at level 7, which then evolves into Butterfree starting at level 10. This represents one"
